Term:English,Description:English,Part:English,Term:Afrikaans,Description:Afrikaans,Term:Amharic,Description:Amharic,Term:Arabic,Description:Arabic,Term:Bengali,Description:Bengali,Term:Bengali (India),Description:Bengali (India),Term:Bulgarian,Description:Bulgarian,Term:Catalan,Description:Catalan,Term:Chinese Simplified,Description:Chinese Simplified,Term:Czech,Description:Czech,Term:Danish,Description:Danish,Term:Dutch,Description:Dutch,Term:Finnish,Description:Finnish,Term:French,Description:French,Term:German,Description:German,Term:Greek,Description:Greek,Term:Haitian Creole,Description:Haitian Creole,Term:Hausa,Description:Hausa,Term:Hebrew,Description:Hebrew,Term:Hindi,Description:Hindi,Term:Hungarian,Description:Hungarian,Term:Igbo,Description:Igbo,Term:Indoensian,Description:Indoensian,Term:Italian,Description:Italian,Term:Japanese,Description:Japanese,Term:Korean,Description:Korean,Term:Nepali,Description:Nepali,Term:Norwegian,Description:Norwegian,Term:Oromo,Description:Oromo,Term:Persian,Description:Persian,Term:Polish,Description:Polish,Term:Portuguese,Description:Portuguese,Term:Portuguese (Brazilian),Description:Portuguese (Brazilian),Term:Romanian,Description:Romanian,Term:Russian,Description:Russian,Term:Serbian (Cyrillic),Description:Serbian (Cyrillic),Term:Shona,Description:Shona,Term:Sinhala,Description:Sinhala,Term:Spanish (Modern),Description:Spanish (Modern),Term:Swahili,Description:Swahili,Term:Swedish,Description:Swedish,Term:Telugu,Description:Telugu,Term:Thai,Description:Thai,Term:Turkish,Description:Turkish,Term:Ukranian,Description:Ukranian,Term:Urdu (Pakistan),Description:Urdu (Pakistan),Term:Vietnamese,Description:Vietnamese,Term:Yoruba,Description:Yoruba,Term:Zulu,Description:Zulu
buffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,búfer,,,,,,,,,,,,,,,,,,,,,
built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incorporado,,,,,,,,,,,,,,,,,,,,,
caption,,NOUN,,,,,,,ক্যাপশন,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sottotitolo,,キャプション / 字幕 / 説明文,文脈によっては「字幕」「説明文」とした方が分かりやすそうですが、特にアクセシビリティの分野では、キャプションと字幕は厳密には異なるようなので、必要に応じて使い分けてください。,,,,,,,,,,,,,,,,,,,,,,,,,,,leyenda/epígrafe,General HTML,,,,,,,,,başlık,,,,,,,,,,,
chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gráfico,,,,,,,,,,grafik,,,,,,,,,,,
checkbox,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,по русски значит флажок,,,,,,,casilla de verificación,,,,,,,,,,,,,,,,,,,,,
click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clic,,,,,,,,,,,,,,,,,,,,,
closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cláusula,,,,,,,,,,,,,,,,,,,,,
code snippet,snippet - a small piece or brief extract,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fragmento de código ,,,,,,,,,,,,фрагмент коду,,,,,,,,,
cross axis,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交差軸,CSS のフレックスアイテムの配置を説明する時,,,,,,,,,,,,,,,,,,,,,,,,,,,eje transversal,,,,,,,,,,,,,,,,,,,,,
curly braces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,llaves,,,,,,,,,,,,фігурні дужки,,,,,,,,,
debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,depurar,,,,,,,,,,,,,,,,,,,,,
debugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,depuración,,,,,,,,,,,,,,,,,,,,,
devtools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,herramientas del desarrollador,,,,,,,,,,,,,,,,,,,,,
dot notation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notación de puntos,,,,,,,,,,,,,,,,,,,,,
embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insertar,,,,,,,,,,,,,,جُرنا,,,,,,,
equality operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operatore di uguaglianza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operador de igualdad,,,,,,,,,,,,оператор рівності,,,,,,,,,
figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figura,,,,,,,,,,,,,,,,,,,,,
font degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degradación de fuentes,,,,,,,,,,,,,,,,,,,,,
footer,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,フッター,HTML の <footer> 要素を指すとき,,,,,,,,,,,,,,,,,,,,,,,,,,,pie de página,,,,,,,,,,,,,,,,,,,,,
graceful degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,degradación elegante,,,,,,,,,,,,,,,,,,,,,
grid,,NOUN,,,,,,,,গ্রিড,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,griglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuadrícula,,,,,,,,,,,,сітка,,,,,,,,,
gutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canal,,,,,,,,,,,,,,,,,,,,,
headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,títulos,,,,,,,,,,,,,,,,,,,,,
host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alojar,,,,,,,,,,,,,,,,,,,,,
hosting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alojamiento,,,,,,,,,,,,,,,,,,,,,
hue,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,цветовой тон,,,,,,,,tono,,,,,,,,,,,,,,,,,,,,,
if statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sentencia if,,,,,,,,,,,,,,,,,,,,,
keyframes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fotogramas clave,,,,,,,,,,,,,,,,,,,,,
link,,NOUN,,,,,,,লিংক,,,,,,enllaç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ссылка,,,,,,,enlace,,,,,,,,,,bağlantı,,посилання,,ملانا,,,,,,,
logical operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operadores lógicos ,,,,,,,,,,,,,,,,,,,,,
loop,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bucle,,,,,,,,,,,,цикл,,,,,,,,,
map,,,,,,,,,,,,,,,,,映射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asignar,,,,,,,,,,,,,,,,,,,,,
markup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,código ,,,,,,,,,,biçimlendirme,,,,,,,,,,,
markup language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lenguaje de marcado,,,,,,,,,,,,,,,,,,,,,
merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fusionar,,,,,,,,,,,,,,,,,,,,,
nested objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,objetos anidados,,,,,,,,,,,,,,,,,,,,,
offset,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desplazamiento,,,,,,,,,,,,компенсувати,,,,,,,,,
placeholder text,"The placeholder attribute specifies a short hint that describes the expected value of an input field (e.g. a sample value or a short description of the expected format). The short hint is displayed in the input field before the user enters a value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,текст-заполнитель,,,,,,,,texto provisional,,,,,,,,,,,,заповнювач (плейсхолдер),,,,,,,,,
portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,portafolio,,,,,,,,,,,,,,,,,,,,,
proofread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revisar,,,,,,,,,,,,,,,,,,,,,
proofreaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equipo de revisión ,,,,,,,,,,,,,,,,,,,,,
reserved word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palabra reservada,,,,,,,,,,,,,,,,,,,,,
responsive design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diseño responsivo,,,,,,,,,,,,,,,,,,,,,
router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enrutador,,,,,,,,,,,,,,,,,,,,,
scope,ambito di applicazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambito,,,,,,,,,,,,,,,,,,,,,
shorthand property,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一括指定プロパティ,「flex: 1 0 10px;」のように、CSSで複数のプロパティを一括指定する記法を指す,,,,,,,,,,,,,,,,,,,,,,,,,,,propiedad abreviada,,,,,,,,,,,,,,,,,,,,,
single quotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comillas simples,,,,,,,,,,,,,,,,,,,,,
split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,division/dividir,,,,,,,,,,,,,,,,,,,,,
string,A list of characters ,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,chaîne de caractères,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رشته,لیستی از کاراکتر ها,,,,,,,,,,,,,,,,,cadena,,,,,,,,,,,,рядковий тип,,,,,,,,,
submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enviar,,,,,,,,,,,,,,,,,,,,,
tag,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تگ,,,,,,,,,,,тег,,,,,,,etiqueta,,,,,,,,,,etiket,,теґ,,ٹیگ,,,,,,,
tuple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tupla,,,,,,,,,,,,,,,,,,,,,
Yay!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¡Excelente!,,,,,,,,,,,,,,,,,,,,,
build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compilación,,,,,,,,,,,,,,,,,,,,,
switch statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,istruzione switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,declaración switch,,,,,,,,,,,,,,,,,,,,,
clickable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliqueable,,,,,,,,,,,,,,,,,,,,,
own properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,propiedades directas,,,,,,,,,,,,,,,,,,,,,
color wheel,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,Farbkreis,,,,,,,,,,,,,,,,,,ruota dei colori,,カラーホイール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innenabstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversione di tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudocode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pseudocodice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type Coercion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversione implicita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Перетворення Типів,,,,,,,,,
Greater Than Operator,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operatore di maggioranza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,оператор «більше ніж»,,,,,,,,,
throw,genera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
popped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,estratto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,виведення,,,,,,,,,
entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elementi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radix,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base,,,,,,,,,,,,,,,,,,,,,,основание,основание системы счисления,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,significato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,مطلب,,,,,,,
box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,riquadro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyan,,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relational Databases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relationale Datenbanken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banco de dados Relacionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contenitore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pattern,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,шаблон,,,,,,,,,
user story,user story,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ユーザーストーリー,コースの最後のプロジェクトの説明に使用される場合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conversione di tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type coercion,conversione implicita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aviary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voliera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessed,,,,,,,,,এক্সেস,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consultato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regex,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,espressione regolare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,регулярний вираз,,,,,,,,,
screen readers,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,экранные считывающие устройства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
сheckboxes,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caselle di spunta,,,,,,,,,,,,,,,,,,,,,,,-> флажки,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Button,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulsanti di opzione,,,,,,,,,,,,,,,,,,,,,,,"переключатель (жарг. радиокнопка) - элемент формы <input type=""radio""> для выбора одного варианта из нескольких",,,,,,,boton de radio,,,,,,,,,,,,радіокнопка,,,,,,,,,
thread,,NOUN,,,,,,,,,,,,,,,主题,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphenated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sillabate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightness,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,яркость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
required,,,,,,,,,,,,,,,,,引入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,required html-атрибут,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As a reminder,,,,,,,,,,,,,,,,,请注意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attribute,,NOUN,,,,,,,এট্রিবিউট,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,属性,HTML タグの attribute を指すとき,,,,,,,,,,,,,,,,,,,атрибут,это дополнительные значения которые настраивают элементы или регулируют их поведение различным способом чтобы соответствовать критериям пользователей.,,,,,,,atributo,Característica de un componente,,,,,,,,,,,Атрибут,,,,,,,,,
opening tag,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,開始タグ,,,,,,,,,,,,,,,,,,,,открывающий тег,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accessibility,,NOUN,,,,,,,এক্সেসিবিলিটি,,,,,,,,,,,,,,,,,,,,Barrierefreiheit,,,,,,,,,,,,,,,,,,,,アクセシビリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,رسائی,,,,,,,
ternary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,тернарный,тройной/троичный оператор,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Случай,,,,,,,,,,,,,,,,,,,регістр,,,,,,,,,
decrement,decrease count by one,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,декремент,понижение счетчика на единицу,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increment,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,инкремент,приращение счетчика,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forEach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forEach,элемент функции,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,веб-страница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchor text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,текст привязки/якоря ссылки,,,,,,,,,,,,,,,,,,,якірний текст,,,,,,,,,
unordered list,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,順序なしリスト,HTML の <ul> 要素で作られるリストを指すとき,,,,,,,,,,,,,,,,,,,,неупорядоченный список,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border-radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,border-radius,CSS-свойство не переводится,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,,,,,,,,,আইডি,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,идентификатор,,,,,,,,,,,,,,,,,,,,,,,,,,,,
should return,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,devrait retourner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Должен возвращать,,,,,,,,,,,,,,,,,,,,повинен повертатися як,,,,,,,,,
Responsive,,NOUN,,,,,,,,প্রতিক্রিয়া দানকারী,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-> про адаптивность,,,,,,,,,,,,,,,,,,,,,,,,,,,,
styled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-> оформлен стилизован,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGB,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGB,цветовая модель,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pseudo-class,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,псевдокласс,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break point,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,точка прерывания,,,,,,,,,,,,,,,,,,,,,,,,,,,,
media query,,DET,,,,,,,Media Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,медиавыражение,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,примечание,,,,,,,,,,,,,,,,,,,Зверніть увагу:,,,,,,,,,
Template literals,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Шаблонні літерали,,,,,,,,,
interpolation,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Інтерполяція,,,,,,,,,
